Strike,Type,Last,Bid,Ask,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Underlying,Open,High,Low,Change,Premium,IV Skew
59.00C,Call,5.21,5.2,5.28,,723,31.69%,0.82,0.0471,-0.03,0.05,63.76,0.0,5.21,5.21,-0.43,5210,+2.12%
59.00P,Put,0.53,0.48,0.5,7.0,6163,30.72%,-0.17,0.0475,-0.02,0.05,,0.57,0.57,0.52,0.01,530,+1.16%
59.50C,Call,4.79,4.78,4.86,,94,31.06%,0.79,0.0516,-0.03,0.05,,0.0,4.79,4.79,-0.42,4790,+1.50%
59.50P,Put,0.64,0.56,0.58,128.0,1779,30.81%,-0.2,0.0518,-0.03,0.05,,0.69,0.69,0.64,0.03,640,+1.25%
60.00C,Call,4.4,4.38,4.46,,1458,30.81%,0.77,0.0559,-0.03,0.05,,0.0,4.4,4.4,-0.41,4400,+1.25%
60.00P,Put,0.68,0.66,0.68,1528.0,14860,29.85%,-0.22,0.0568,-0.03,0.05,,0.73,0.8,0.65,-0.03,680,+0.29%
60.50C,Call,4.01,3.99,4.07,,129,30.32%,0.74,0.0604,-0.03,0.06,,0.0,4.01,4.01,-0.4,4010,+0.76%
60.50P,Put,0.83,0.77,0.79,26.0,876,29.62%,-0.25,0.0613,-0.03,0.06,,0.91,0.95,0.76,0.01,830,+0.06%
61.00C,Call,3.56,3.63,3.7,4.0,667,28.60%,0.72,0.0668,-0.03,0.06,,3.23,3.56,3.23,-0.09,3560,-0.96%
61.00P,Put,0.91,0.89,0.92,248.0,2353,29.30%,-0.29,0.0657,-0.03,0.06,,0.99,1.1,0.91,-0.05,910,-0.26%
61.50C,Call,2.97,3.28,3.34,25.0,755,24.47%,0.7,0.0797,-0.03,0.06,,3.12,3.12,2.89,-0.33,2970,-5.10%
61.50P,Put,1.06,1.05,1.06,59.0,1653,31.42%,-0.33,0.0652,-0.03,0.06,,1.21,1.26,1.06,-0.05,1060,+1.86%
62.00C,Call,3.13,2.95,3.01,141.0,3009,31.96%,0.63,0.0666,-0.04,0.07,,3.01,3.28,2.98,-0.21,3130,+2.40%
62.00P,Put,1.23,1.22,1.24,123.0,5776,31.58%,-0.36,0.0673,-0.03,0.07,,1.39,1.46,1.2,-0.06,1230,+2.02%
62.50C,Call,2.59,2.64,2.7,23.0,3061,28.27%,0.61,0.0769,-0.04,0.07,,2.61,2.63,2.31,-0.09,2590,-1.29%
62.50P,Put,1.41,1.4,1.42,33.0,4491,28.81%,-0.39,0.0755,-0.03,0.07,,1.45,1.68,1.41,-0.07,1410,-0.75%
63.00C,Call,2.32,2.37,2.4,40.0,4465,28.38%,0.57,0.0784,-0.04,0.07,,2.17,2.36,2.06,-0.08,2320,-1.18%
63.00P,Put,1.64,1.62,1.64,345.0,3475,31.24%,-0.43,0.0713,-0.04,0.07,,1.86,1.94,1.6,-0.06,1640,+1.68%
63.50C,Call,2.09,2.11,2.14,236.0,2836,27.91%,0.53,0.0806,-0.04,0.07,,2.17,2.22,1.83,-0.05,2090,-1.65%
63.50P,Put,1.92,1.85,1.87,102.0,1206,28.48%,-0.47,0.079,-0.03,0.07,,2.0,2.18,1.82,-0.02,1920,-1.08%
64.00C,Call,1.88,1.87,1.89,550.0,4002,27.88%,0.49,0.0809,-0.04,0.07,,1.82,1.9,1.61,-0.02,1880,-1.68%
64.00P,Put,2.34,2.1,2.13,13.0,3365,30.75%,-0.51,0.0734,-0.03,0.07,,2.34,2.34,2.34,0.14,2340,+1.18%
64.50C,Call,1.66,1.65,1.68,165.0,2623,28.27%,0.45,0.0791,-0.04,0.07,,1.71,1.71,1.42,-0.03,1660,-1.29%
