Strike,Type,Last,Bid,Ask,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Underlying,Open,High,Low,Change,Premium,IV Skew
54.50C,Call,10.03,9.68,9.74,,,0.00%,1,0,0,0,64.04,0.0,10.03,10.03,1.22,10030,0.00%
54.50P,Put,0.01,0.0,0.01,,1960.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
55.00C,Call,9.53,9.18,9.24,,27.0,0.00%,1,0,0,0,,0.0,9.53,9.53,1.22,9530,0.00%
55.00P,Put,0.01,0.0,0.01,6.0,15506.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
55.50C,Call,9.03,8.68,8.74,,7.0,0.00%,1,0,0,0,,0.0,9.03,9.03,1.22,9030,0.00%
55.50P,Put,0.01,0.0,0.01,,1609.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
56.00C,Call,8.53,8.18,8.24,1.0,11.0,0.00%,1,0,0,0,,0.0,8.53,8.53,1.22,8530,0.00%
56.00P,Put,0.01,0.0,0.01,43.0,4816.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
56.50C,Call,8.03,7.68,7.74,,25.0,0.00%,1,0,0,0,,0.0,8.03,8.03,1.22,8030,0.00%
56.50P,Put,0.01,0.0,0.01,1.0,1543.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
57.00C,Call,7.53,7.18,7.25,,59.0,0.00%,1,0,0,0,,0.0,7.53,7.53,1.22,7530,0.00%
57.00P,Put,0.01,0.0,0.01,2.0,5510.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
57.50C,Call,7.03,6.68,6.75,,57.0,0.00%,1,0,0,0,,0.0,7.03,7.03,1.22,7030,0.00%
57.50P,Put,0.01,0.0,0.01,,4922.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
58.00C,Call,6.53,6.18,6.25,1.0,45.0,0.00%,1,0,0,0,,0.0,6.53,6.53,1.22,6530,0.00%
58.00P,Put,0.01,0.0,0.01,6.0,7417.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
58.50C,Call,6.03,5.68,5.75,1.0,142.0,0.00%,1,0,0,0,,0.0,6.03,6.03,1.22,6030,0.00%
58.50P,Put,0.01,0.0,0.01,2.0,3001.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
59.00C,Call,5.53,5.18,5.25,,833.0,0.00%,1,0,0,0,,0.0,5.53,5.53,1.21,5530,0.00%
59.00P,Put,0.01,0.0,0.01,81.0,12215.0,0.00%,0,0,0,0,,0.03,0.03,0.01,-0.01,10,0.00%
59.50C,Call,5.03,4.68,4.75,,153.0,0.00%,1,0,0,0,,0.0,5.03,5.03,1.21,5030,0.00%
