Strike,Type,Last,Bid,Ask,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Underlying,Open,High,Low,Change,Premium,IV Skew
"3,600.00C",Call,57.1,56.9,58.0,99,4740,8.90%,0.91,0.0039,-0.55,0.76,3648.0,82.0,82.0,53.6,-40.3,5710,-6.42%
"3,600.00P",Put,9.0,10.4,11.1,42,2623,14.50%,-0.2,0.0042,-1.48,1.32,,11.7,12.0,7.5,-1.4,900,-0.82%
"3,605.00C",Call,55.3,53.2,54.3,3,263,11.47%,0.83,0.0047,-1.15,1.19,,0.0,55.3,55.3,-38.0,5530,-3.85%
"3,605.00P",Put,10.7,11.6,12.4,11,367,15.76%,-0.24,0.0042,-1.79,1.47,,10.7,11.6,10.6,0.3,1070,+0.44%
"3,610.00C",Call,52.1,49.6,50.7,2,549,12.12%,0.79,0.005,-1.39,1.34,,52.1,52.1,51.6,-37.1,5210,-3.20%
"3,610.00P",Put,12.2,13.1,13.7,47,640,14.09%,-0.24,0.0047,-1.58,1.46,,9.7,12.2,9.5,-0.8,1220,-1.23%
"3,615.00C",Call,48.1,46.2,47.3,3,496,12.03%,0.77,0.0054,-1.48,1.43,,0.0,48.1,48.1,-37.1,4810,-3.29%
"3,615.00P",Put,12.3,14.7,15.2,5,268,15.31%,-0.28,0.0047,-1.87,1.58,,12.3,12.3,12.3,-2.1,1230,-0.01%
"3,620.00C",Call,44.8,42.9,44.0,1,479,12.31%,0.73,0.0057,-1.64,1.54,,0.0,44.8,44.8,-36.5,4480,-3.01%
"3,620.00P",Put,23.4,16.4,17.1,59,140,20.72%,-0.35,0.0038,-2.84,1.74,,12.6,23.4,10.7,10.0,2340,+5.40%
"3,625.00C",Call,56.0,39.8,40.7,143,803,20.93%,0.63,0.0039,-3.22,1.77,,41.1,58.0,41.1,-21.5,5600,+5.61%
"3,625.00P",Put,16.0,18.2,18.8,36,742,14.10%,-0.32,0.0054,-1.81,1.67,,13.8,16.0,13.8,-1.8,1600,-1.22%
"3,630.00C",Call,37.8,36.9,37.8,32,567,12.30%,0.67,0.0062,-1.82,1.69,,56.5,56.5,36.4,-36.0,3780,-3.02%
"3,630.00P",Put,16.3,20.1,20.8,242,490,14.57%,-0.35,0.0054,-1.94,1.74,,18.3,19.5,16.0,-3.4,1630,-0.75%
"3,635.00C",Call,50.0,34.0,34.8,51,158,20.91%,0.59,0.004,-3.32,1.82,,50.0,50.0,35.5,-20.2,5000,+5.59%
"3,635.00P",Put,20.7,22.3,23.0,8,178,18.32%,-0.4,0.0045,-2.59,1.81,,23.5,24.9,20.7,-1.1,2070,+3.00%
"3,640.00C",Call,32.7,31.1,32.0,10,853,13.00%,0.6,0.0063,-2.09,1.81,,42.1,42.2,27.7,-34.1,3270,-2.32%
"3,640.00P",Put,22.1,24.6,25.4,10,445,15.63%,-0.41,0.0053,-2.2,1.82,,22.1,22.1,22.1,-1.9,2210,+0.31%
"3,645.00C",Call,30.2,28.6,29.5,16,345,13.21%,0.57,0.0063,-2.18,1.84,,40.4,44.7,28.6,-33.2,3020,-2.11%
